title,full_path,poster,object_type,tmdb_popularity
Regular Show,https://www.justwatch.com/us/tv-show/regular-show,https://www.justwatch.com/images/poster/22225/s332/regular-show,show,9.13955307006836
How to Get Away with Murder,https://www.justwatch.com/us/tv-show/how-to-get-away-with-murder,https://www.justwatch.com/images/poster/21374/s332/how-to-get-away-with-murder,show,9.070178031921387
The Real Housewives of Atlanta,https://www.justwatch.com/us/tv-show/the-real-housewives-of-atlanta,https://www.justwatch.com/images/poster/21143/s332/the-real-housewives-of-atlanta,show,9.037059783935547
Sons of Anarchy,https://www.justwatch.com/us/tv-show/sons-of-anarchy,https://www.justwatch.com/images/poster/22085/s332/sons-of-anarchy,show,9.032764434814453
Buffy the Vampire Slayer,https://www.justwatch.com/us/tv-show/buffy-the-vampire-slayer,https://www.justwatch.com/images/poster/15445/s332/buffy-the-vampire-slayer,show,9.020549774169922
Medium,https://www.justwatch.com/us/tv-show/medium,https://www.justwatch.com/images/poster/21457/s332/medium,show,9.00561809539795
Desperate Housewives,https://www.justwatch.com/us/tv-show/desperate-housewives,https://www.justwatch.com/images/poster/19868/s332/desperate-housewives,show,8.902681350708008
The Middle,https://www.justwatch.com/us/tv-show/the-middle,https://www.justwatch.com/images/poster/20562/s332/the-middle,show,8.868509292602539
Spectre,https://www.justwatch.com/us/movie/spectre-2015,https://www.justwatch.com/images/poster/138257/s332/spectre-2015,movie,8.812806129455566
Angel,https://www.justwatch.com/us/tv-show/angel-2001,https://www.justwatch.com/images/poster/19074/s332/angel-2001,show,8.80747127532959
Mystery Science Theater 3000,https://www.justwatch.com/us/tv-show/mystery-science-theater-3000,https://www.justwatch.com/images/poster/21975/s332/mystery-science-theater-3000,show,8.76258373260498
Chicago Fire,https://www.justwatch.com/us/tv-show/chicago-fire,https://www.justwatch.com/images/poster/3630/s332/chicago-fire,show,8.742493629455566
Gold Rush,https://www.justwatch.com/us/tv-show/gold-rush,https://www.justwatch.com/images/poster/22486/s332/gold-rush,show,8.710845947265625
Rosewood,https://www.justwatch.com/us/tv-show/rosewood,https://www.justwatch.com/images/poster/36557/s332/rosewood,show,8.62321662902832
24: Legacy,https://www.justwatch.com/us/tv-show/24-legacy,https://www.justwatch.com/images/poster/41300/s332/24-legacy,show,8.56313705444336
